﻿CleanText;Rating
je fais partie de contributeurs de la premi heure ceux qui ont cru en votre vision qui ont investi non seulement de l argent mais de la confiance en retour nous avon eu droit quo voir plus;1
j aime le fait qu il n ait pa besoin abonnement la bague et l application fonctionnent parfaitement ensemble et j obtiens toutes le information dont j ai besoin sans frais suppl mentaires;5
bague qui fonctionner 2 ou 3jours service client contact dans la foul e garantie 92183 aucune r activit apres 8mois change il demandent de renvoyer la bague pour remboursement voir plus;1
une version slim qui fait clairement la diff rence fiable et discr te niveau software le phase de sommeil ne sont pa toujours bien tect e surtout pour l veil en attente une synch voir plus;4
arnaque entreprise circular sur kickstarter circular lanc une campagne de financement travers kickstarter pour un nouvel anneau nomm circular 2 en mar 2025 une de promesses principale lors cette campagne de fournir toutes le fonctionnalit actuelles et future sans souscription ou abonnement lors un roul de la campagne 2 objectifs goal ont atteints bloquant ainsi 2 fonctionnalit suppl mentaires suivi pression art rielle et suivi du glucose ce fonctions de suivi tant de fonctions tr int ressantes pour leurs utilisateurs sont de puissants argument commerciaux afin de que la campagne puisse attirer un maximum de contributeurs le contributeurs la campagne ont ailleurs imm diatement augment de mani significative au vu de l int r et de condition acc sans frais ce fonctionnalit aucun moment lors de la campagne circular n mentionn le principe un abonnement sur le fonctions de la bague et ceci jusqu la cl ture de la campagne le 27 juillet 2025 apr la cl ture de la campagne et juste avant le de l envoi de bagues circular fait changer le termes de la campagne par kickstarter en int grant la mention un abonnement pour le fonctions se situant en objectifs suivi de la pression arterielle et du glucose ce jour et malgr de nombreuses demandes de contributeurs circular n est pa revenu en arri sur son intention de mettre en place un abonnement ni ne laisse de possibilit annuler la commande et de se faire rembourser;1
une trahison la hauteur de votre silence je fais partie de contributeurs de la premi heure ceux qui ont cru en votre vision qui ont investi non seulement de l argent mais de la confiance en retour nous avon eu droit quoi une volta face commerciale honteuse de promesses pi tin e et maintenant cerise sur le g teau la censure pure et simple vos engagement initiaux incluaient de fonctionnalit de sant ambitieuses pression art rielle glyc mie int gr e dans le produit aujourd hui vous le transformez en option payantes sans avertissement sans discussion et surtout sans respect ce n est pa un changement de cap c est une escroquerie peine gui e et plut que ouvrir le dialogue vous avez choisi la voie la plus l che supprimer le commentaires critique et bloquer ceux qui osent exprimer leur ception un pris total de votre communaut vous ne supportez pa la transparence ou est ce la v rit qui vous range ceux qui vous rejoindraient demain fuyez car derri le paillettes marketing se cache une r alit bien plus sombre une quipe qui renie s promesses prise s soutiens et efface le trace de s propres renoncements nous avon soutenu un projet pa une entreprise de microtransactions malhonn te honte vous;1
arnaque circular sur kickstarter circular lanc une campagne de financement travers kickstarter pour un nouvel anneau nomm circular 2 en mar 2025 une de promesses principale lors cette campagne de fournir toutes le fonctionnalit sans abonnement lors de la r alisation de la campagne 2 objectifs goal ont atteint bloquant ainsi 2 fonctionnalit suppl mentaires suivi pression art rielle et suivi du glucose ce fonctions de suivi tant de fonctions tr int ressantes pour leurs utilisateurs sont de puissants argument commerciaux afin de que la campagne puisse attirer un maximum de contributeurs aucun moment lors de la campagne circular n mentionn le principe un abonnement sur le fonctions de la bague et ceci jusqu la cl ture de la campagne le 27 juillet 2025 apr la cl ture de la campagne et juste avant le de l envoi de bagues circular fait changer le termes de la campagne par kickstarter en int grant la mention un abonnement pour le fonctions se situant en objectifs suivi de la pression arterielle et du glucose ce jour et malgr de nombreuses demandes de contributeurs circular n est pa revenu en arri sur son intention de mettre en place un abonnement ni ne laisse de possibilit annuler la commande et de se faire rembourser;1
depuis que je porte cette bague depuis que je porte cette bague je dors plus profond ment l application guide avec de bons conseils simple je sen mieux chaque matin;5
nul cette soci ne tiens pa s engagement produits fectueux au bout de 4 mois pa possible de remplacer et toujours pa rembours depuis 8 mois fuir pire service consommateur jamais vu le pauvres conseillers font ceux qui il peuvent pour supporter leur manager incomp tent;1
avis 9 le temp passe inexorablement r sum de pisodes commande 92668 14 06 24 prise de contact car circular slim est h 20 07 24 renvoi de la bague avec tiquette pr pay e 23 07 24 r ception par circular et depuis comme beaucoup je fais balader avec de fausses promesses j redressement judiciaire de circular en date du 8 10 24 donc comprend mieux le fait que le remboursements ne viennent pa le avoirs sont gel 6 07 25 tiens tiens toujours pa de remboursement j ai eu l argument de la liste attente bien r j ai saisi le diateur et circular n pa r pondu tape suivante avec signal conso circular n pa non plus r pondu il int ressent leurs client en sav donc je viens de contacter protection juridique car l depuis le 14 06 24 devient lassant pour circular vous allez avoir plus de frais de justice que mon remboursement de 273 mais ce n est pa mon probl ce n est pa faute avoir patient;1
