Title,Content,Rating,Date,Author
,"The company is responsive when I email them or submit feedback via the app, usually responding within 3 business days. There are frequent updates as they roll out new features and/or fix bugs. The rinSee more",5,2025-06-16T16:25:05.000Z,
,The RingConn has helped me better assess my sleep more than any other device has! I highly suggest this ring since there’s no monthly fee & the app shows some fun stuff coming on the horizon for the aSee more,5,2025-06-16T14:49:54.000Z,
,Love the idea of the ring. Somethings to note. It gets scratched very easily and I'm not expecting it to look great a year from now. Also there are no postpartum or pregnancy setting for the fertilitySee more,4,2025-06-18T23:43:57.000Z,
,Still relatively adjusting but so far everything has been as great as i expected. The only thing is that the app doesn’t take temp on demand- only when sleeping. Other than that- i love the purchase.,4,2025-06-16T11:11:52.000Z,
Love the idea of the ring,Love the idea of the ring. Somethings to note. It gets scratched very easily and I'm not expecting it to look great a year from now. Also there are no postpartum or pregnancy setting for the fertility tracking which would improve the data for sure. Over all its comfortable and the battery is wonderful.,4,2025-06-18T23:43:57.000Z,
Solid.,The shipping took a while but the quality and battery life of the ring is really good. The only thing is that I wish it tracked more workouts. The app is easy to use.,4,2025-06-18T17:31:31.000Z,
Does what it says it’ll do!,"Works as described, even while wearing it on my thumb. Well priced, although I’d prefer if it were not made in China. Enters sleep mode automatically and readings are accurate.",5,2025-06-18T14:13:20.000Z,
Support extremely supportive!,"The support people are extremely helpful. I had a problem with the battery in my Ring Gen 2. They did some troubleshooting with me but, when that didn't work, they sent me a replacement ring before I returned my old ring.",5,2025-06-18T01:30:53.000Z,
Super happy with it,"Super happy with the rings performance, only con is that it could use more exercise options",5,2025-06-17T13:30:28.000Z,
Overall not bad,"Overall not bad, step count could be more accurate.",4,2025-06-17T05:54:16.000Z,
Great product,"Great product, works well, feels comfortable and isn’t heavy. Nice sizing and overall process.",5,2025-06-17T05:27:55.000Z,
Excellent support,"Excellent support. Ordered the wrong ring size and RingConn took care of me very quickly. My experience, the ring size kit is true to fit. I am very happy with the performance of my new ring and would highly recommend this product to anyone",5,2025-06-17T01:40:50.000Z,
The ring is providing just what I was…,The ring is providing just what I was looking for with the benefit of not having to pay for a subscription with no benefit.,4,2025-06-16T18:58:00.000Z,
Best Smart ring I have tried,"The company is responsive when I email them or submit feedback via the app, usually responding within 3 business days. There are frequent updates as they roll out new features and/or fix bugs. The ring battery lasts me about 9 days (with daily exercise mode) and I wear it constantly. I also walk about an hour a day and the battery holds up well in exercise mode. I did an interview when they were rolling out the women's health, and they sent me a thank you gift that was beautiful and well packaged. I like the data and how it is presented in graphs.",5,2025-06-16T16:25:05.000Z,
Great Ring,Great Ring. Does a great job tracking sleep. Very comfortable. So much better to sleep in than a watch.,5,2025-06-16T16:16:41.000Z,
The RingConn has helped me better…,The RingConn has helped me better assess my sleep more than any other device has! I highly suggest this ring since there’s no monthly fee & the app shows some fun stuff coming on the horizon for the already existing ring!,5,2025-06-16T14:49:54.000Z,
Good stats tracker,This is a much better vital stats tracker then Fitbit .,5,2025-06-16T12:09:39.000Z,
Good product,"Company was quick to respond to my questions.
It took a little bit to get my ring; however was well worth the wait. Fantastic battery life and great information.
My husband wants to switch from his Oura and get one of these.
Ring fits true to size using their ring guide.",5,2025-06-16T11:52:02.000Z,
Still relatively adjusting but so far…,Still relatively adjusting but so far everything has been as great as i expected. The only thing is that the app doesn’t take temp on demand- only when sleeping. Other than that- i love the purchase.,4,2025-06-16T11:11:52.000Z,
The best fitness tracker I’ve used!,"Date of experience: May 19, 2025",5,2025-06-16T09:21:15.000Z,
"Ring is nice, app syncing with others could be better",Product seems to be well thought out. Slim and comfortable to wear. Wear it working out and to sleep and does not distract me at all. Would have given it a solid 5 stars if the data could be synced with other apps easier. Data is more useful when combined with other sources.,4,2025-06-14T19:44:30.000Z,
Good experience,good product. shipping took a while but happy with the Ring,5,2025-06-14T02:48:54.000Z,
Deceptive and Sketchy Company!,The gold ring featured on the website was not the color I received. It was a completely different ring! The women I spoke to on the phone even confirmed there was a difference in color and said it is a common complaint. That is deceptive marketing and extremely sketchy! I also have yet to receive my refund for the ring. Followed all the difficult return instructions and still no refund.,1,2025-06-13T17:17:40.000Z,
The ring is doing everything I wanted…,The ring is doing everything I wanted it to do and more,5,2025-06-12T13:50:08.000Z,
,"The company is responsive when I email them or submit feedback via the app, usually responding within 3 business days. There are frequent updates as they roll out new features and/or fix bugs. The rinSee more",5,2025-06-16T16:25:05.000Z,
,The RingConn has helped me better assess my sleep more than any other device has! I highly suggest this ring since there’s no monthly fee & the app shows some fun stuff coming on the horizon for the aSee more,5,2025-06-16T14:49:54.000Z,
,Love the idea of the ring. Somethings to note. It gets scratched very easily and I'm not expecting it to look great a year from now. Also there are no postpartum or pregnancy setting for the fertilitySee more,4,2025-06-18T23:43:57.000Z,
,Still relatively adjusting but so far everything has been as great as i expected. The only thing is that the app doesn’t take temp on demand- only when sleeping. Other than that- i love the purchase.,4,2025-06-16T11:11:52.000Z,
Awesome ring and service,The ring works great and battery is lasting 9 days. I found the information recorded to be very similar to my Samsung Watch. The sizing is the same as the one from the sizing kit. Delivery was pretty quick to Australia. Great product and service!,5,2025-06-12T10:36:27.000Z,
Good Design,Everything looks fine.,5,2025-06-12T09:17:44.000Z,
Product has a long battery life,"Product has a long battery life, seems pretty accurate, looks amazing and comfortable to wear daily.",5,2025-06-11T15:06:52.000Z,
One ring rule all them all,Great Ring with style and light to wear. Track all my health information.,5,2025-06-11T09:13:07.000Z,
It is pretty accurate compared to my…,It is pretty accurate compared to my Apple Watch. I wish it integrated with apps I.e peloton or any fitness app. Thinner than most rings on the market. Limited workout options. Love the sleep analysis,4,2025-06-10T03:48:11.000Z,
good product,good product. delivery took long and was a bit stressed about the local delivery company,4,2025-06-09T21:53:11.000Z,
I love this ring,I love this ring but more than that I love the customer service help that is given. They have gone above and beyond to help me.,5,2025-06-09T19:48:16.000Z,
Good health status update,Good health status update,5,2025-06-09T17:58:34.000Z,
I like that it really helps track my…,"I like that it really helps track my sleep,that the main reason why i use it :)",5,2025-06-09T16:16:44.000Z,
Does exactly what I wanted,"Does exactly what I wanted. Monitors my sleep and my steps.
Size could be a half size smaller but the lower size would have been too tight in the summer heat - swelling of fingers.",5,2025-06-09T15:11:24.000Z,
My ring came quick,My ring came quick. I love the sleep information and tracking my exercise. I've already recommended it to friends and coworkers.,5,2025-06-09T14:52:06.000Z,
